"","obsTime","Values","geo","Country"
"1","1959",16.2974026051918,"CH","Switzerland"
"2","1960",16.7122883925732,"CH","Switzerland"
"3","1961",17.2535193828879,"CH","Switzerland"
"4","1962",18.1115800967879,"CH","Switzerland"
"5","1963",18.8677980596705,"CH","Switzerland"
"6","1964",20.0539868837627,"CH","Switzerland"
"7","1965",21.1553175415891,"CH","Switzerland"
"8","1966",22.879120268717,"CH","Switzerland"
"9","1967",25.0628944057519,"CH","Switzerland"
"10","1968",27.0018660389342,"CH","Switzerland"
"11","1969",28.6338724525489,"CH","Switzerland"
"12","1970",30.4990191153989,"CH","Switzerland"
"13","1971",33.10633168024,"CH","Switzerland"
"14","1972",35.8923955871395,"CH","Switzerland"
"15","1973",38.2510295365323,"CH","Switzerland"
"16","1974",41.1536574008075,"CH","Switzerland"
"17","1975",45.1870367508585,"CH","Switzerland"
"18","1976",47.1493267260336,"CH","Switzerland"
"19","1977",47.7242185233237,"CH","Switzerland"
"20","1978",47.8740146642035,"CH","Switzerland"
"21","1979",47.8501135178418,"CH","Switzerland"
"22","1980",48.3758554800321,"CH","Switzerland"
"23","1981",50.4947348131472,"CH","Switzerland"
"24","1982",55.2184116493775,"CH","Switzerland"
"25","1983",58.2555086061221,"CH","Switzerland"
"26","1984",59.7068415976912,"CH","Switzerland"
"27","1985",61.601626659782,"CH","Switzerland"
"28","1986",63.8899307027348,"CH","Switzerland"
"29","1987",65.8307528405764,"CH","Switzerland"
"30","1988",67.6967246605598,"CH","Switzerland"
"31","1989",70.1970563149083,"CH","Switzerland"
"32","1990",76.2634273776842,"CH","Switzerland"
"33","1991",83.8301182588171,"CH","Switzerland"
"34","1992",89.6277445013805,"CH","Switzerland"
"35","1993",94.2317787991251,"CH","Switzerland"
"36","1994",94.8313180091763,"CH","Switzerland"
"37","1995",95.8949976167737,"CH","Switzerland"
"38","1996",97.1994533497951,"CH","Switzerland"
"39","1997",97.7720256091405,"CH","Switzerland"
"40","1998",97.8402767452107,"CH","Switzerland"
"41","1999",98.509534261127,"CH","Switzerland"
"42","2000",100,"CH","Switzerland"
"43","2001",102.738410776473,"CH","Switzerland"
"44","2002",103.78598542151,"CH","Switzerland"
"45","2003",104.083805478437,"CH","Switzerland"
"46","2004",105.292947573708,"CH","Switzerland"
"47","2005",106.729001656299,"CH","Switzerland"
"48","2006",108.710648718372,"CH","Switzerland"
"49","2007",111.215813402633,"CH","Switzerland"
"50","2008",113.843810405168,"CH","Switzerland"
"51","2009",116.68011469569,"CH","Switzerland"
"52","2010",117.979965488221,"CH","Switzerland"
"53","2011",119.531377337084,"CH","Switzerland"
"54","2012",120.317105325777,"CH","Switzerland"
"55","2013",120.869926274101,"CH","Switzerland"
"56","2014",122.318078342922,"CH","Switzerland"
"57","2015",123.291582489341,"CH","Switzerland"
"58","2016",123.682040756744,"CH","Switzerland"
"59","2017",124.997780751571,"CH","Switzerland"
"60","2018",125.452726679582,"CH","Switzerland"
"61","2019",126.095568973961,"CH","Switzerland"
"62","1989",25.4332195082268,"GR","Greece"
"63","1990",30.2439865911782,"GR","Greece"
"64","1991",39.1843249940978,"GR","Greece"
"65","1992",46.86832220632,"GR","Greece"
"66","1993",57.0073120666958,"GR","Greece"
"67","1994",65.4367190087255,"GR","Greece"
"68","1995",73.0311904498291,"GR","Greece"
"69","1996",80.4898907340382,"GR","Greece"
"70","1997",86.5340641294802,"GR","Greece"
"71","1998",92.080739394135,"GR","Greece"
"72","1999",96.2413216007579,"GR","Greece"
"73","2000",100,"GR","Greece"
"74","2001",103.957533558078,"GR","Greece"
"75","2002",109.098628784286,"GR","Greece"
"76","2003",114.783766182344,"GR","Greece"
"77","2004",120.903539391524,"GR","Greece"
"78","2005",126.028805887488,"GR","Greece"
"79","2006",131.530190231719,"GR","Greece"
"80","2007",137.5140414169,"GR","Greece"
"81","2008",142.859170546209,"GR","Greece"
"82","2009",148.030279089364,"GR","Greece"
"83","2010",151.649273023767,"GR","Greece"
"84","2011",152.915725389357,"GR","Greece"
"85","2012",149.735108154472,"GR","Greece"
"86","2013",139.57282318166,"GR","Greece"
"87","2014",128.867940050709,"GR","Greece"
"88","2015",123.156828879388,"GR","Greece"
"89","2016",119.94014824879,"GR","Greece"
"90","2017",117.27507469769,"GR","Greece"
"91","2018",113.506300518158,"GR","Greece"
"92","2019",113.506300517008,"GR","Greece"
"93","1995",33.8999999292335,"PL","Poland"
"94","1996",44.1166682703988,"PL","Poland"
"95","1997",56.2999967800733,"PL","Poland"
"96","1998",69.85000422703,"PL","Poland"
"97","1999",83.7166673918122,"PL","Poland"
"98","2000",100,"PL","Poland"
"99","2001",113.59999809328,"PL","Poland"
"100","2002",123.000001448733,"PL","Poland"
"101","2003",128.933335507991,"PL","Poland"
"102","2004",133.433330203758,"PL","Poland"
"103","2005",138.116669111599,"PL","Poland"
"104","2006",142.636506780563,"PL","Poland"
"105","2007",150.421434187106,"PL","Poland"
"106","2008",158.705543690222,"PL","Poland"
"107","2009",165.64660730256,"PL","Poland"
"108","2010",170.174941091465,"PL","Poland"
"109","2011",175.404508542222,"PL","Poland"
"110","2012",179.897175451373,"PL","Poland"
"111","2013",182.393113974234,"PL","Poland"
"112","2014",184.473055733285,"PL","Poland"
"113","2015",186.933327376391,"PL","Poland"
"114","2016",189.369867832994,"PL","Poland"
"115","2017",195.039135194064,"PL","Poland"
"116","2018",202.574511275654,"PL","Poland"
"117","2019",212.534459407074,"PL","Poland"
"118","1970",14.6279844921412,"FR","France"
"119","1971",15.4825747985469,"FR","France"
